delegator_acc,validator_acc,bonded_token
juno1qey4zm58rj458km7nhsr3054pqtrufvkjyux02,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1td4y8k23pqyjn7pyz99fhvyp0ghxdzwf239sp7,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1ghys3v2kwh8am4zdkryltpl29kyhyhld2zt694,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1gus8yznydfmpqlm7rc9g0x6j4n6y5q3kwxlu37,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1xrl6zuzgu96h5fdjkzlrft0820n9z4m087rap5,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno19d8wkuj8wqphvnkc9lwujrsj4q2kfw9qkrczhk,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1f0uvvesjfaek7c4kszjmxqsxjsf6u6q6r5xzxe,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno12q9urhjzrkpkuf4cq2mrhqtqfwgvejtek6ftfq,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno190a267xw38xp2xnyr53prctcrkdtzxc8zucgvr,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1z2ul6vm9lvj0lz4zrtte78kegt2v2hgxqgp6he,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1294sxh0fs6wjetxa7m9gyrtehn6uy94pzkxj5a,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1ruwlgdnclj0nrs6kz32h4f5anq87fqjygp2z34,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno18dydhz4m44fmcg8aj76zswwugrs303r4la63ts,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno186snhx9rdwm0sfv4acyww2j4m6ecw36v7a0y9m,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1934lz2dfs4qs5pmrnrm064hsp33n2yfuawas40,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1p8v5ll9ce77x6nzzpu6xyvdvnwe3wfa5vg3uay,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1f5da8843g7r43gknzqdm9zrf3tdmk5dz2ef5ux,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1v8hayns4zauhwvw07tjf67lknq4ptdq7j6z2dl,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno12j9ys2c4s6f64l86x6vmlr678r8r5maf2xuknc,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lujffxd,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1zkwy05d8lee2xc3zkz8wnyzld8kwug0mcmnzph,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1zal4kqquq8mlwugzrh3346s9cxl5ug2qpfhv6p,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1pupq88v276r4dcal66dmvcnx06s46qunf7gkm2,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1v84wk0rwljd6r3m7ly943mzadutrvdqgjtut67,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1rglv7we69mptm7wzt686ceq5z2zfelxtku2hc0,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1t2j58qpfltwvfqyffudhrl3y9pa08t6qaxfyuj,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1f0ulvjy869wkdfutjwauuhv300fhm8mmq7ectu,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
