delegator,voting_power
evmos1862ed57tg9vrjm34r03n0l427ufzj3z87407qr,92780602830859558.000000000000000000
evmos1lckv25e5h4ghszknsnljlq40fxfad535kcvmre,70000000000000000.000000000000000000
evmos1h4ss9dcnue9u8g7kvymkhaza4zxt74e7zwhw2t,7000000000000000.000000000000000000
evmos19wr53valxnjr5t7tne9fnw0uuel5dvk46aju0e,68576846882484741964.000000000000000000
evmos18z28h54v0czgfw3qskt8s0h75pp7pn4ncj4ln8,2000000000000000000.000000000000000000
evmos1mqnyd2akh064qdt4zd5t3fp9e3e0zgqy3na4h2,200000000000000000.000000000000000000
evmos1ddfz9wfwuxu9qkf5pejfg3cmlcr9tefpvmmsxd,200000000000000000.000000000000000000
evmos1e3qjllul62cq8xa5gh7fc798gc6weq2yj23gqn,200000000000000000.000000000000000000
evmos184fjn0k3kna4zu5rrzp0kd2ydgq24y9txzr06z,1762581660408276912.000000000000000000
evmos1kn09cvlgy325t0wsqnrdg9cc4flr2ylgwe65us,11000000000000000000.000000000000000000
evmos1420jml067pvtymge6ye5x3a4z6m9wm4flwfnwx,1100000000000000000.000000000000000000
evmos17lsddv7un2p3kjtupjeqq7m5lfsjzka386etdc,1100000000000000000.000000000000000000
evmos1sl7ts3hppeyu6ch3d223rzmxvy4cthdc32ma4n,11000000000000000.000000000000000000
evmos1x672xh76z92cz8m3r2aykp3v8x8sfmdtkx9ds8,10890000000000000000.000000000000000000
evmos1r4w8wc4jf45jvfmdhlp89zp6nlqwe28h769cpc,1000000000000000000.000000000000000000
evmos1ezkyvpsrqwx6ztljkegk6jvjn05jx7femq6sk6,100000000000000000.000000000000000000
evmos1s7y805ea4fzg3mv70sv68fyhuxyl2ep0szusjk,10000000000000000.000000000000000000
evmos1g3pmukqujupj0xrkecl047nttvnpyxxwd2ue59,10000000000000000.000000000000000000
evmos1jd2g0rh65rtdsgdhye9jyeeyy05f7rxpdtxtew,1000000000000000.000000000000000000
evmos1qwq8z0mjhe95jnjjwgtdpjmype0040h7a2qw4c,99000000000000000000.000000000000000000
evmos1qc62fuenrru92yf2s5y0w4dqxg8dn4s754ffyl,94100000000000000000.000000000000000000
evmos1qrz7v7jnqdrxvjlt93mckmp9e7tjfdtwc5sjaf,9358037697760855551.000000000000000000
evmos1qtgc2tzqlf7770gps7aa5ur0zt9cnjxlhhklj3,85019.000000000000000000
evmos1qufelzq09ul9rntpkw2hwjwjhdydhy8v3782n0,83484253800007395137.000000000000000000
evmos1q4axjsmat3a6qn07272g3pd02lw7wug290wqqt,77950000877473863015.000000000000000000
evmos1qg2qxf5k3apppwlvmtw5smwpu0fk8vrfzceqry,759000000000000000000.000000000000000000
evmos1qthqqr70l5ng4h2g9hvlc4svm5e58lu7ldsm4u,709607916468856147904.000000000000000000
evmos1q9ftetegzzfwag9t0pweve5vg4gjnwfj7nht82,7000000000000000000.000000000000000000
evmos1qax0jjncswhv65t7x6lcqdmuqcp7xtxm0hnq0p,651000000000000000000.000000000000000000
evmos1qca3v90ukv4r5r2g378p604qdzkvsg8tcc4rzl,65000000000000000000.000000000000000000
evmos1qczte0cs0dl9wkjckkjrkp0v8rpze9skhmn999,632000000000000000000.000000000000000000
evmos1qxtccl0cvmsug9c22w2tp089emg5hzemlj47xd,629.000000000000000000
evmos1qyjrp7f5hsupm86e5282xsmrhnshqdfawe29ss,6017131776061241775.000000000000000000
evmos1qdt508gj3wh5ln0t7ar6rtxdhwefkpytwe65zp,600000000000000000001.000000000000000000
evmos1qqqqqqq28pzyuznwxlfmvvxhap260jcnm45fyg,60000000000000000000.000000000000000000
evmos1qqexud7w7anc3a4seajre9zgr4st602crlkj4q,6000000000000000000.000000000000000000
evmos1qhffe9lpcyumfpea746c7yfvw04ler0qs4yqmu,6000000000000000000.000000000000000000
evmos1q8h44zfze987dq5ykgkd3gv0dpcpw0v082zpm8,57978966263829432618.000000000000000000
evmos1qhyk9z8xhkulflqx4ekpmndgpvq0rq0m2da0sk,57976326107380155201.000000000000000000
evmos1qt6ymnapchswylplucepa2mwdqflz8825cwpqk,57975629901339739536.000000000000000000
evmos1q8klqs3zw3xdmvceftul27r0eh8me5nfz78nq6,57975625495835335499.000000000000000000
evmos1qvqhjdf32gzraze6cu2tzc4ykt908fj9ggumrc,57975619485682114318.000000000000000000
evmos1qfmxu0f9hknt4hxnf4auafdlq4yeq3z2teadf4,574534314175431883375.000000000000000000
evmos1qdwq90523px5v5tpla5wpae8npm74nu785d9vc,54446222215451904085.000000000000000000
evmos1qfen69kqm05teeyc3cf5hx8gmhpvvl9drzafde,520000000000000000000.000000000000000000
evmos1qrnfmpqhqtz0v7rh7uh753qrhgf4uqv3thphh9,50804226230476756415.000000000000000000
evmos1qklfyurq5exvrhu98rug2recc4h56duusezsla,50100000000000000000.000000000000000000
evmos1qsqvzc3upqd3ugez4faykjq8w0ds2r5nss2kht,501.000000000000000000
evmos1qtm7enh7edljjz7xd4f0l2fujdrf5vt6hepan6,50000000000000000.000000000000000000
evmos1qnvckmcusk4gmjdqe3quxplyqyfdmgd0kndshr,50000000000000000.000000000000000000
evmos1qml8m48sz07j2uzal4jtqmjggc2an3ug4fr5r9,49800000000000000000.000000000000000000
evmos1quu7h824lyewecj9zly62ecqwkun2tux9z3t0p,49389791144137196141.000000000000000000
evmos1qhax7gzvv5y53ud3djrcthztgvr88hzejle7q0,45818999999999999999.000000000000000000
evmos1q05v4mdcjuy2zrafj9zcyy0g0jfsmscpgsa898,42000000000000000000.000000000000000000
evmos1qdmhrfxp38fmns9emdahevkyafnznwmp43xtg0,41815817373896592612.000000000000000000
evmos1q2qnpvcqkmc2h2nqk7f3kmmtf5u378x7gxk36j,39000000000000000000.000000000000000000
evmos1q4l64k4yfmtprgskxukweajwtn3zrc57a94y5r,32000000000000000000.000000000000000000
evmos1qs9mgwseaxemzapsk8pgmhnnvucjcukrv2kxq7,318690186661951142561.000000000000000000
evmos1qn3ezkhcn2za0cyrzy2u7av4e7t0er6w2m03cu,3115587633639230809.000000000000000000
evmos1q0x86r2mtd4dwan9ekrp7rww8e7pttsej6rsls,3081555092107594527.000000000000000000
evmos1qhy8etrdar4m7fyfl4pw69mc7zlkfd9rfs93yf,305494645840179853924.000000000000000000
evmos1qnqhmy3lm8cc7guea9vf4wq2kchctdq8nku3ml,28589667220204179744.000000000000000000
evmos1qv55nt3uf348q5le2q28xyl4s6hakvr9phqdsk,26700000000000000000.000000000000000000
evmos1q3w4m2rkd4r74ajl025mnfu8l4gpchlpzcej3g,25104938900739889262.000000000000000000
evmos1qf09v7g6ee2tzpyk0u2em3p6m0w287636ejxhh,25000000000000000000.000000000000000000
evmos1q47f30x8v9af9zpkflztqu4uak90zjzrkz75yw,24826767065139356515.000000000000000000
evmos1qe5lpceydjyvd6dv5e5egvknd6xpr4e8fjgvw6,24598794741050632291.000000000000000000
evmos1qn5jufnzt0qq8zxd8nymrw9wcmfawadt0qkgdm,24104997363928949658.000000000000000000
evmos1qucwcex20z4wu05dgq4sa0c5c735g3lak7esks,232890000000000000000.000000000000000000
evmos1qpwxucj0vl4he5auldnhfcyrxentnmaq7u3x5y,23000000000000000000.000000000000000000
evmos1q47zpgf9cq6vrrjfywlzk0dvvw4j60h99y3d54,22128096229794275029954.000000000000000000
evmos1qrnnvqhqe4cy9rvxr0zcezdqa43g2gtsf45f5g,218428625877488649627.000000000000000000
evmos1q2gz7ry62xfx8upe2v0umhkp9eh3mwjvwg3us9,202220000000000000000.000000000000000000
evmos1qmymgytpryccq2hc044tk4a4rh5swpfcv6l4rs,202027254081152880087.000000000000000000
evmos1q6nfdr2egu8ms0a4t0wlprrhphnkrkpzrvsq2l,201821294074596401200.000000000000000000
evmos1qwva02ra8rrzp50fk589rdfwlxulcxp56vqa99,201610608213703499342.000000000000000000
evmos1qj2kx37kwy4w5cknl6xvyrq2d4gserhj77vws2,2000000000000000000.000000000000000000
evmos1q8ljlah22rzh900l78ecljd46cc4v7r3nhg6nf,19866943887432072795.000000000000000000
evmos1qkk8d9fusd95rg9y24cqrcl9ls3qfpzhz9gdf8,1941859637578077147043.000000000000000000
evmos1qqwj2qw9vz5fq7nskm6s4xksdu546lnltn6j6g,1907572775883455082.000000000000000000
evmos1qzc4c6lkh6hetem9308eewnxrqxq8dmnsjykkg,182339327957797962061.000000000000000000
evmos1qgavxey5ehaml4amgcfwpuenj2kmdv4w4qhckj,172543094851118804186.000000000000000000
evmos1qm7f4vzmlwkj8khp0xz854jrylzf4prxck8trl,169974656339328323977.000000000000000000
evmos1qqajsp0nll04cctyls840ul0m7e03mj0gg46qc,169232297182249187997.000000000000000000
evmos1qckpz4q8u5yrdy7ymuqrxvtmm9fzrptestjfvj,169208536489578346988.000000000000000000
evmos1q87dfkrkqxd2a7hjwgu2dnqhvf46xrunznut06,16500000000000000000.000000000000000000
evmos1qz8256tm8dw3m3q7lsgjfwu7rc4yay9r24w855,1625473817262255758.000000000000000000
evmos1q3urguhmrhn4erl2urlfm8mv237ekvppdg7hen,1608609442748013793.000000000000000000
evmos1q58294ty2dhplxuelnxnlvdk9804rjtty7fkhm,158292708685999959720.000000000000000000
evmos1qjxk3us4ga77xdlu42v9wyl4l4z5gymjpc00vn,1532068824857410647.000000000000000000
evmos1qnf9rnpuf7ujjyfc8wl337n3vuaa779uxrkz6g,15000000000000000000.000000000000000000
evmos1q234w2cccau2xcgrlth2cjwv4uwffn7n3t22kq,14000000000000000000.000000000000000000
evmos1q3ny2n6re0sfsz8y8wmp4p5ttams7w8kjh9yll,1263495371264679240.000000000000000000
evmos1qy5td3s29hhwk6n0jmg6rmve2zvmrmfxjx7me0,125907962930325901527.000000000000000000
evmos1qpluj9fsnrze8k6jm4s4xxyjj6v8uhas3t8mlp,123131771904731718750.000000000000000000
evmos1qnya7clrurj2gvkt086ayva52n5u85jemycztz,11668864019099471020.000000000000000000
evmos1qqczkgpgvp2rnxx5f6p9gsflczz8rquku6qqay,110023322424920759748.000000000000000000
evmos1qjq72fz9hddmzp740gvlgu27qx5fx26ap02qwa,1049967704932868565.000000000000000000
evmos1qzc7d4qhm8p2cp0xmg5m7fta8ys3strpu7rlee,101900000000000000000.000000000000000000
evmos1qwfyys2zwwq9qvlcp9g89q4x3zfgxxeq6ermfr,101390000969410514725.000000000000000000
evmos1qxggsv9ep7yrjp3rgpensj3mzamwjr8uu9nldh,101390000969410514725.000000000000000000
evmos1qyzeyjvcan0dzfmsz3kzt79v6dwrf8snpnjxdq,100760000000000000000.000000000000000000
evmos1quqnuh49k9p3amt6xvmy74uh2k0ztly9vl59wh,100760000000000000000.000000000000000000
evmos1qdwfk0y7xqnsq3n89afl3vnm6xs6xjkdl8e0yc,100300000000000000000.000000000000000000
evmos1qslay4u4pc7dcrm0mc8rh8tpp087fq54rgltx7,100300000000000000000.000000000000000000
evmos1qxe3csac7xgxttx8c7sptfcwgjs6574kdm8v24,100300000000000000000.000000000000000000
evmos1qje0ykkgsg4a6zlljwucgrm0vr45zssxpp4xdj,100050000000000000000.000000000000000000
evmos1q9y2g0pte5wcrwxkunt8c9p0l7nv6j2qpfs0xa,100045000000000000000.000000000000000000
evmos1qcap4e5jw888ecy4tsaar358rtuxxl50v5gg6e,100010000000000000000.000000000000000000
evmos1qp3zdhn8tta877t75mw3yzkwmssfewpx4hn0ku,100010000000000000000.000000000000000000
evmos1q044ugvhuhzzgxfthejzw4cnjvjef04na6dhyz,100010000000000000000.000000000000000000
evmos1q8w6zgnftfzyykygjkrecmcl6srd8lstq6hfdm,100010000000000000000.000000000000000000
evmos1qvfevll2a2v7uw0kaqas2cjp25ewjxa7kxct0f,100010000000000000000.000000000000000000
evmos1qhmw3mw2c39yzsdsk5qpg66l0ycga92xg6qg5n,100000000000000000000.000000000000000000
evmos1q0gn9spdazlhljmhrf8glecchw8yq3fwe4xfjq,1000000000000000000.000000000000000000
evmos1qxhkngyuv4kznaxk66puvys2f0xpf6wkykx5mu,1000000000000000000.000000000000000000
evmos1qv5kdxqhmkgvmgudj6766ghg9zvphuxjeujqql,1000000000000000000.000000000000000000
evmos1quj6ppxewv5dhwngf58ej5tz7mhrqqrddkajy2,10000000000000000.000000000000000000
evmos1qwgk9v37xu3yjhnyrx2z78spkkw2799tfh63rv,10000000000000000.000000000000000000
evmos1qdzl5hwxnjw2jzjyzg279752pvmydy5xhtxt7e,999099999950000.000000000000000000
evmos1q70a4gdya7lrthl62pvfdxlenupr7cex5sxrpl,99500000000000000000.000000000000000000
evmos1qu8x2jktcmm4cclzrxc57kd80p5a2ecdjejl2m,9659735896895258384.000000000000000000
evmos1ql8lzyv56p22zln7n6lws7n5fqcyqnghsrtxlj,90009481067140809409.000000000000000000
evmos1qjzg7l847feu4c6x5px484susuadsv6zn9heru,9000000000000000000.000000000000000000
evmos1qdhh42lzhu84c9668hsfyltg8zaw4qkk99skhv,87453394280345920591.000000000000000000
evmos1q2fq6unkxt8cgljnrttmk46apzkumxumzr4h6m,813195071300000000000.000000000000000000
evmos1pyltsqgzcltxta5ngsndtrr58530saka6u997c,8000000000000000000.000000000000000000
evmos1qufelzq09ul9rntpkw2hwjwjhdydhy8v3782n0,66705979440418931560.000000000000000000
evmos1pyx6cc387jucuc70jx329dp72r4ndw6jh4swul,66576885308654563556.000000000000000000
evmos1pglxf6wmrv09ngq9q4272p5rqg6d2h7p0j7wlz,655555000000000000.000000000000000000
evmos1q6zphzm3dkf98pr0nry07cl09qal7jh8pam0wl,644549404707796053611.000000000000000000
evmos1qzu6qgs5rp2htpy90zsp4mskyjgv6vre0e4axk,60421718180088350566.000000000000000000
evmos1qm4mjjf4canccejjjzcnystyxvhah4elyh9an4,5750000000000000000.000000000000000000
evmos1qsyrkle823qhj0u3dfdpjg5vh9ccrhgl5c9j8e,57000000000000000000.000000000000000000
evmos1q3cuhww26zqfcetp3m27up97nzw8hg8urhrlhf,567550000000000000000.000000000000000000
evmos1pz7v7rvzp4xu7ua8wrv9rkxt6la7z9gg4u6v76,55700000000000000000.000000000000000000
evmos1qcc8zlyudwh2h54ss5hqnhcgl6ave5383gt5al,53000000000000000000.000000000000000000
evmos1ptcmytj0ulp05ry0vxgankaajf9mct7ce6gyr4,51470000000000000000.000000000000000000
evmos1ptpnmjfsp5yuqvpccqvqtzqlnwa438vvkghgal,5100000000000000000.000000000000000000
evmos1q4xf8sfegat4w4k6w293pn8dehj66a4f2ha73z,50500000000000000000.000000000000000000
evmos1qwxk3gld4uzcsffyu0ewm4w0tp4q6l82rrnyz5,50300000000000000000.000000000000000000
evmos1ptmzc6pege5kvr3ys9k76mrxmrwea9denlswv6,50000000000000000000.000000000000000000
evmos1qcmmh5rvww37nqhk277h0ymn7mn3q5day4yj4x,5000000000000000000.000000000000000000
evmos1qttgyfgrh55hx45l7j0e05xvg6z6dncqufdzw2,493813358442918553453.000000000000000000
evmos1q6sqkvzm3jq4aculrsztqgj4zt70s773hgzl9a,4933053431311586432.000000000000000000
evmos1qah2k9cy6nlrjsc0aycejyjc9yffpxy2c6qqsn,48446671774999743000.000000000000000000
evmos1p87zfelc4dt049dnfuhwsz4z3s3yvp68hl5ame,4750000000000000000.000000000000000000
evmos1qx8kp3mhecwlzytngzftalm98lzyay89jswqsx,470969913402918100000.000000000000000000
evmos1p8lxzuc05twesrg09xpvxz7v52aa0jm4lmvx0d,47023464990731642909.000000000000000000
evmos1qqfdscj2ermtke8z4uj4x20uqzacr4cwz6klep,450640511861928546689.000000000000000000
evmos1pxelh57y2fchgms0e8akgv0e6cd699z4dsr0k5,45000000000000000000.000000000000000000
evmos1ql9tsdxrnlnhe9ns8vp45hjnvz6y9e8evglhlg,4300000000000000000.000000000000000000
