delegator,voting_power
somm1p6pdensxvnkrdaehtrv2km28e7w0t6d7f8wgt6,9000000.000000000000000000
somm1t64u2enf3t7jrq2sw49n2aqngxhpa4qj2fa7w2,76000000.000000000000000000
somm13dl0ufwwzepvc5pzt97ep3v2kkvu6g87p33wqe,74000000.000000000000000000
somm12qxt27l9nkwx30972krc7uqln3k2t6tf8v5sc2,72000000.000000000000000000
somm1tl68p32cltwyr0ug6lghcdm2a47tsv9zsshn9m,70900885.000000000000000000
somm1zn23yqpur5lyduk4cdg5zney43mjzasc2k9cfm,69000000.000000000000000000
somm18xejpqpxt84c7dwrzs60vqjdvz0qvvvcz34nrt,68884343.000000000000000000
somm1d0utvgg6mnnc7kh63v6au5zyrjgv22a2qvj4mg,68500000.000000000000000000
somm1rwtazpyspj593mtje4xa6zqkzwrqhw7r6c5kxp,67000000.000000000000000000
somm13a9q7msmss0n9u5l9gz2rjjvph2avvdy5k52u4,6250.000000000000000000
somm1w5uts0aq2n05gfqhcm3820hmrr0hrac4qmuav3,600000.000000000000000000
somm1vpujs4zc4ut02d5pjwf83qswz7m843ss8grtfu,55000000.000000000000000000
somm1wx4l083748kl7cf2paewultsue42cxxe7zmg0s,545871782.000000000000000000
somm1gvpckqw6l7c39km0afft95qzykzj88cvvwmqvw,53712241.000000000000000000
somm1f04haf8fs3pgagkf2pa5ay5uqrkjstzxf8wykl,5264577698.000000000000000000
somm1vuypyrjq2vymnedvwfc2rlhvx78k9q4a4822xw,50100000.000000000000000000
somm1s4qz3yz8dq46gsjws0zmfz62zdddpy906cgqpt,5000041.000000000000000000
somm1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9emxup8,5000005.000000000000000000
somm1df7x3xg4ynhlz6xtx40g0mhvnr2l0sjsfrmgy6,500000000.000000000000000000
somm1f5jw7e4rehj23epgqngtrqrkw392cwwe95jgmy,5000000.000000000000000000
somm19ey78vr7y7yrsn9qtqk24kmg98dk2fqd63qxn6,5000000.000000000000000000
somm1zzuttewnk3keg6m3xf2n3wxd2h7wkvj7p8e4tx,5000000.000000000000000000
somm18lz45r3jznse0rxrfn79mxeepwt8kt0y7yzhjy,5000000.000000000000000000
somm1ycgkz3hfp9euglxyg5p0fmpk7zavcgg0ve2kgt,5000000.000000000000000000
somm1gcxkh4z0xhg447ng39u7lfsfhg6cl946s69dyz,5000000.000000000000000000
somm1dkvm2v3md93q847d8j2els6gv43cvatqrantat,500000.000000000000000000
somm1plxajyqwe97ghd4em2xgd39wzvr27aelh5kcw2,500000.000000000000000000
somm1887ye8m4u60rm8fct7vm8a305sahl3gj2zlrts,500000.000000000000000000
somm1xcqt9tu9q9jzculqrryzp3v472336vlftnks8l,500000.000000000000000000
somm1gw6yu9jetj2vrht8qrf9wmpjdq4weuee4su6vs,480000000.000000000000000000
somm1qhc5pdg7p55a2pxd3h5qusf6chvdpfemjfpltd,406500000.000000000000000000
somm1tfyx6ad4nr4f2j3syyualsztxdgdxz8pkr32hq,400000000.000000000000000000
somm1qn08klln63pf390z3mvlt4us45qedknr0pn7qj,40000000.000000000000000000
somm1v779pqxnvamjv2fkvfn27dwkteljnvrcqal9ln,4000000.000000000000000000
