delegator,voting_power
juno1qey4zm58rj458km7nhsr3054pqtrufvkjyux02,9824294.115546093846143176
juno1td4y8k23pqyjn7pyz99fhvyp0ghxdzwf239sp7,9750934.836482105218162458
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,81249999999.627781564160350379
juno1ghys3v2kwh8am4zdkryltpl29kyhyhld2zt694,70000.000000000000000000
juno1gus8yznydfmpqlm7rc9g0x6j4n6y5q3kwxlu37,6308171.514225423675443369
juno1xrl6zuzgu96h5fdjkzlrft0820n9z4m087rap5,600000.000000000000000000
juno19d8wkuj8wqphvnkc9lwujrsj4q2kfw9qkrczhk,5980000.000000000000000000
juno1f0uvvesjfaek7c4kszjmxqsxjsf6u6q6r5xzxe,5932951.725368954144851721
juno12q9urhjzrkpkuf4cq2mrhqtqfwgvejtek6ftfq,5796000000.000000000000000000
juno190a267xw38xp2xnyr53prctcrkdtzxc8zucgvr,55470509.038559595009285569
juno1z2ul6vm9lvj0lz4zrtte78kegt2v2hgxqgp6he,5500550.052646704626923963
juno1294sxh0fs6wjetxa7m9gyrtehn6uy94pzkxj5a,54100000.000000000000000000
juno1ruwlgdnclj0nrs6kz32h4f5anq87fqjygp2z34,52000000.000000000000000000
juno18dydhz4m44fmcg8aj76zswwugrs303r4la63ts,51458000.000000000000000000
juno186snhx9rdwm0sfv4acyww2j4m6ecw36v7a0y9m,5000500.047857136652742596
juno1934lz2dfs4qs5pmrnrm064hsp33n2yfuawas40,50000000.000000000000000000
juno1p8v5ll9ce77x6nzzpu6xyvdvnwe3wfa5vg3uay,50000000.000000000000000000
juno1f5da8843g7r43gknzqdm9zrf3tdmk5dz2ef5ux,5000000.000000000000000000
juno1v8hayns4zauhwvw07tjf67lknq4ptdq7j6z2dl,5000000.000000000000000000
juno12j9ys2c4s6f64l86x6vmlr678r8r5maf2xuknc,4757578.000000000000000000
juno1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lujffxd,442000000.000000000000000000
juno1zkwy05d8lee2xc3zkz8wnyzld8kwug0mcmnzph,4358986.000000000000000000
juno1zal4kqquq8mlwugzrh3346s9cxl5ug2qpfhv6p,420000000.000000000000000000
juno1pupq88v276r4dcal66dmvcnx06s46qunf7gkm2,4194230.032882038972524744
juno1v84wk0rwljd6r3m7ly943mzadutrvdqgjtut67,4016433.000000000000000000
juno1rglv7we69mptm7wzt686ceq5z2zfelxtku2hc0,4000400.037954667929998474
juno1t2j58qpfltwvfqyffudhrl3y9pa08t6qaxfyuj,4000300.028277033092807117
juno1f0ulvjy869wkdfutjwauuhv300fhm8mmq7ectu,4000000.000000000000000000
juno1dqgam0gwfegzlz37cpdd6plr49dtkus9wada5j,377926094.515332261580372856
juno1vjnym284v6t9p3l28l6m2838vvc56a4lyun3u5,36905933.579649738141670642
juno1yfck0gqm9jxewqxvaut3sjwpemc8sxjjqw98yq,3555719.570210250363885620
juno129q2w3983dafjl5q376qarfy5y2dfsphrrs90f,33403733.369871720360695349
juno1rflx873hnc6pdca6r07j2zfs4k00w4tczdm3ul,32800000.000000000000000000
juno12n8lz058l967pkzr4ch4zu6950ca7myqkqpd9y,29160851.081332310062826764
juno19n59ydclkltkj4rkh5sh9glpzw6qxl9946jjhv,279462.398093510709563620
juno1rrkask2d2nrarahrfl4zaugae6r7jw0azrzs6c,2732521.251070930470305742
juno1yv0ulra5vjrcpj7a02cz5g9xk6d7q4l2vt6upg,27002700.258177090245060815
juno1qhrt425swuwutnkzkufqvz49mgryudqrmjmc5z,25813000.000000000000000000
juno1trke0jkyzaxjsep2qyya0d4k0jeeem8yjxr4lm,256650.664937720525053350
juno1gkfrsy456camh3ufqqefuqsz4cp2z4c267f8zl,25214672.034402157189711556
juno1qxngfsqjng2fup6egfathdzwnveqyhh5nj2lje,21202120.209673171392444567
juno1vs5n793wc3rr4gm3vn8jct9c8cefravelw58f2,20211015.600976331180692447
juno1v4ye43xg5zq8j5rf3e0w6fuwffq3qtwfnm4zah,20002000.190402942723854010
juno1vwpgd5zmpgae27y20pvrr54lz2yqjz7y02j5r7,2000200.019206555179485867
juno1v4lv03eaeqvftwtzlm8qm6muffwd9f0qe4xr84,20002.000191442562279723
juno1yqfgs4ev7xyegpqx8wmle90ethhfg786mdt5f6,2000000.000000000000000000
juno1ydj5645sqlyvyj79840sk5naj3yk6hy6306psp,2000000.000000000000000000
juno1dscvydy0yepnwty3vrajf2lyjn7gx8mefanpcz,2000000.000000000000000000
juno18fvj5z86e60v0x2fpeh4gkr5g88pd98kutds27,2000000.000000000000000000
juno12jnvhw8kp05q2hsz8806hrn07vulqky55qn34q,2000.000000000000000000
juno1p7x0d8ja5raau2v7ygtqv9j8yk35fsang78krz,2000.000000000000000000
juno1tq8r7a53em7u2ku6snmc8ncluh2ycyf5m3rypg,2000.000000000000000000
juno1xn5pwc6snenuyf778vezlxut80k5c05srt4ukq,2000.000000000000000000
juno1zrz9g6qk3lwruv348gx7w0uy90pc7g5ugc23cs,200.000000000000000000
juno18rkx5smx3jj6eacmdvtcn2qkpa0mayykwsg7jt,1971407.140653500490712640
juno1fxllwh304tml60gak9fzjyjzgj5mympp37l996,19600.000000000000000000
juno1vuvsg54r8dy86kzdpltjz6qjnsk062p0m69avj,18090075.000000000000000000
juno18ka8qatfah0ejcsrnk2yl5h343ztlwh0092jqz,17362464.046418460218004520
juno1rjlfwcfajmxrqzjj2ngf8vzkauvl8kt63gh07w,16992078.000000000000000000
juno1zqtlz9p5xjh2dx2y4fx3fl2mtsyd6fhudez6ez,150000.000000000000000000
juno1x443puphahxraapt4rkxxpt7z6rgk29tjf578w,1500.000000000000000000
juno1qvjddrx3qt7vn9n9vvanumrwxv5g0ny7a0fuv6,1500.000000000000000000
juno12nn0z0v8v94rp9w8r7x58p36nucnp25xz8juwc,144384248.405378196140290959
juno1ghfzlp70xxf98pd2k5jju2yrvy0zzdeehuj7xm,1400000.000000000000000000
juno1pwhmecpmtxs58xedwj9mttu3rh2feldt6u5wy5,134998701.661788161164421817
juno12ldgar7zr7cdnyk7xmeus3t9w2yasy996mf7qv,13153528.147060015233801781
juno194xl26sfnumzzk9ck9qvptua3hes6cm6dl0k2v,13001300.123761912770505106
juno1qazqc3wr40y3z5gnmydrpxnz5zvxlqwphr6ya3,1243996.399526163155285443
juno1rgdwjv2tfc0vcsjdyg2jmqsnktpftvpk2hmrut,123000000.000000000000000000
juno12ws5n4905lsy8yzr84hf79xrv3cwxapr8wkhvl,1207000000.000000000000000000
juno18s2n52u09tlfkr86k07509qjn3l8hpcyxmlrqs,120670.837041639690998922
juno1f3jr7mje02n9l8mystcgttmyrh3wfg386ux7je,12000750.072180445950891593
juno1xlycppkt3zgnls0720e6esa2gye4c26r0fvg6y,118595.649523554252454975
juno1g0g224y5evz44q8rmf40vsaalkt40rpp6gn83l,117321.502109336686367627
juno18cw9qdmk2mfemgptuhlthrapweyrrr0pcam30x,115967.720233927641814787
juno1thf9pfdj8u7393gxy4y2u6dv76kchkk9myue94,1100110.010610123945782022
juno12k3ncrmgr0yh4ade0ams4pshtcpsrl5dc7nl57,1100110.010610123945782022
juno122r50qlf6q383q0m5mr7areqyr2mxvsdupaze7,11000000.000000000000000000
juno12dwjfumwcta8pa6fcmssy52m5qmgq08ppxm5hs,10970087.008282528008487649
juno1rmemz0vyxjzqgy4hljymvzq3e3uf4630rr48zh,10823114.197924739191545962
juno1vc7pm7geykxtvzpnv4kng852x2wuaxuqu3s6mp,107936.593621716353709915
juno1206d83m8t2awm626nhgyxr8vpz7mr238vljfkv,106000000.000000000000000000
juno1tq5ak77pn95x7wln29cpc8q8ewuazv6afdnrt9,101000.000000000000000000
juno1qrtqhqyu2g5yz2u24veg665vd2cndh25hna2fw,101000.000000000000000000
juno19g2rynuj6u5a4a9m5e9g3hv2m7rdwln242ugl6,1000000000.000000000000000000
juno1zqg753ll6zf85nzml67ure8zqqkpyvw8z59lnj,10000000.000000000000000000
juno1pzmye5gc9gc9kf98znskxxmfu04mftj9w63n6t,10000000.000000000000000000
juno1t38zwq0xgwgnk4js897543attkqng832etcku7,1000000.000000000000000000
juno1d8f7xzua0zjp630kpsmup2tf0t7yap826qa25r,10000.000000000000000000
juno123yaheveu8u6xnmr35wpnauujr2xwch8r4mxhg,1000.000000000000000000
juno1ynuxxyt6y8zlk78lvj8mkzj5l5wm8pt0emyh36,1000.000000000000000000
juno18r6nlkpupv5e7vjfwvpt2vjn9ygghyhxweff5z,100.000000000000000000
juno1qt07vc6fgpj320p9wavlfnfupw04938sw7qqk5,100.000000000000000000
juno1vkthfcdhnn4uvz83q29vwkx2qpzjmpue2arhpw,0.194806712337989260
juno1rpkzl64hud6t3ep48cvt5ldje86sxxap42smwl,0.054406763665811489
juno1zyy5zxchv60ntfh9umdaltj05qd8kpv0a942x2,0.033139592877190266
juno1dgntjpmzwyrjuk8w45rymyqfrx7rduhrxsyvws,0.021838876116263716
juno1qwdep765pxntxwl5dfu2gttyjv2khplsvn2x8p,0.009539605654199189
juno1xflkqalnep6zcsj7km43hlvzuy5tpp0fnxyydk,0.000355397333284142
juno1g7tfvlxxa3jp6u9yjqtnh2x4v32zmmudm207vk,0.000010035908192823
juno184vnnwy3j4zmsjrml28y8heq47uhq8ar2ltlz4,8990103.000000000000000000
juno1kap7nwd344grm7wxryxjeuxr30edt8cfwfu6wl,89747526051.000000000000000000
juno16g508lpuzdn6c88qgv8rhy0kyjeeuax59qyts5,887421895.000000000000000000
juno14z0kly4zssz0zv6c48awhhfj6k8xw8mm4ltkeg,8700.000000000000000000
juno1p9uhfmkk25jdcd9ncc4rnq8chp2hq4fc7jd8p8,8500.000000000000000000
juno1mhlv7rqz4ex87q6yt8mwr5r8hp2mdw6a84rpz5,848784.000000000000000000
juno1egusc5pum408egd4nuhxy70crceulc8rxqf8tg,73000000.000000000000000000
juno19xjlltqxmt7tzw4u87z47z2568uc986e7js32l,7172137.000000000000000000
juno1tszeev4mlvx8p6jx054zwx7rm2c5a3saah34q3,7150000.000000000000000000
juno155unwmv8h3jcv6hlm9fcaqlcfeyvc4nxtr5lu4,6799965.000000000000000000
juno1ehmc7ac8q8v9qx4q8qc0zmavq4pjd6jwc0fav2,60707.000000000000000000
