validator_moniker,per_voting_power,self_delegation,total_delegation
SweepStake,98331209145723878434,1,19
NodeStake,973692151899409444704287,1000000,100
Stakely.io,966442735242488268443812,1,100
Zenith Station,96210597313837233987525,1,39
StakeBenefit,9177214392774809837,1,25
Regenerator | Green Validator 🌱,906999192221208839078675,1,100
davich,9000000,9000000,1
Himalayas,882504083542867968,1000000,1
0base.vc,867534348752609281387145,1,100
spellbooks.tech 📖,847137453385220314736,1000000,16
" kingnodes 👑",787770210587625551781573,1,100
Please Redelegate Elsewhere,734319604559832425792,1000000,43
Mandragora,695729178795860935375597,1,100
Unit 410,6847481542545591942799358,1,100
16psyche,6800000000001000000,1000000,2
Sentinel dVPN,666798684570384924868136,1,100
MCB,662925168182122165436,1,15
Validating Chaos - 🌀🌌🖤 NFTs to delegators,65658967704437599773379,1,100
Tedcrypto.io 🧸 | TedLotto,645177963974218388155842,1000000,100
"Do not delegate, decommissioning",6000000000000592500,1000000,2
First Foundry,587371538702573266022921,1000000,42
请至新节点质押 | old-DeFi100-iCosmosDAO,577836261416144034988,1000000,100
Natalia,55856988431684370874,1,22
redelegate,548807440295406697388,1,78
Chandra Station,545164951332715433039518,1,100
MZONDER,528562941585525234845735,1,100
x3m,5171906003330756020,1,21
NodeZ,5000000000000000000,1,1
StakeThat,5000000,1000000,1
AM Solutions 🪐,474866395000899143825,1,51
Unity Capital,47100510000000000000,1,2
stake-machine.com,46696000000000000000,1,43
"evmosius (⚛️,⚛️)",429551261676332354859491,1,100
web34ever,37362027596677450747,1,77
Noderunners,373365269608652618855,1,28
spacefi.io,357857536822450234338544,1000000,100
Klub Staking,350382771163145531642145,1000000,100
Psycho Node,339084643331783335249754,1,100
Darvin,312362062516994708930,1,13
Validape x GT Capital,308914191801529351636,1,36
Expanding.space,3004644669439674947620,1,100
✅ CryptoCrew - 100% MEV revenue to Evmos stakers! #IBCgang #REstake,298467653408380624827871,1,100
z,29327592178542212040,1,9
Citadel.one,2846755047789661587815006,1,100
Hdmiimdh,26177786526414579580,1,21
Notional,2584208052619487017158482,1,100
TC Network,247917159113870066812708,1000000,100
Gabijke,2388453356890460000,1,6
BwareLabs | Blastapi.io,228631771233650418228843,1,100
gryhail,22511692124967074328,1,15
Staketab,2218564635225912046021,1,20
heisenbug,219803882125337797084857,1,100
Upnode | 0% Fee,210431471760111188703765,1000000,59
NXTPOP,2000000000000000000,1000000,1
jux29m0v,2000000000000000000,1,1
cyberG,1990000000000000000,1,1
Fanfury | fury.fan | Stake to Win,198037043202302884267864,1,100
Blockchain at Berkeley,197951542028746437103926,1000000,42
MMS,194350475693838070891143,1,100
Pulsar🌟 lowest fee,1875587303207212240495,1000000,100
Imperator.co,1855222481622146397707330,1,100
NosNode⛓,184627540600541613819034,1000000,100
Jackal,179606719108765716597248,1000000,100
.,175997704626739554861,1,84
windpowerstake,174554872743877422668694,1000000,100
Cypher Core Remix,173446103762829829844432,1,86
"Stake Frites (🥩 , 🍟)",170560324700202559417527,1000000,100
Wave,1695737832478059455906,1,100
stakingcare,1671240755349482794802,1,7
Quebec,164151520711388789066284,1,18
Pulse Stars,162665667561507114370,1,11
Consensus One,160439746533165777812079,1,100
PLEASE REDELEGATE,1547481467138658689428,1,63
Stakecito,1525483133797195731206267,1,100
bailey,145955171326172364492725,1,100
silent,140362211053123231671513,1000000,100
Architect Nodes,138676211923514995203310,1,65
01node,136412188655277228822949,1000000,100
azstake,117245329092149513200,1,23
Suntzu | AZclub.pro,111984133553420045020,1,13
AUDIT.one,1097077455764500850918197,1,100
GGSYSTEMS,10924452613665351356,1,19
Polychain,10846081136858176079654672,1,100
P2P Validator,1010858954157212758664608,1,100
Blockwave Labs,10100000000000000000,10000000000,2
Moneto,1000100000000002001,1000000000000000000,5
UniverseDAO,10000000000000000000,1,1
bitszn,1000000000000000000,1000000,1
GoBlue,1000000000000000000,1,1
3ventures.io,1000000000000000000,1,1
steak and eggs,1000000000000000000,1,1
Shawn,1000000000000000000,100000000000,1
nysa.network,1000000000000000000,1,1
Sigma,10000000000000000,100000000000,1
LL,1000000,1000000,1
Evmos Testserv,1000000,1000000,1
Uplink,1000000,1000000,1
EthermintMikhail,1000000,1000000,1
Nocturnal Labs,1,1,1
mugglepool,1,1,1
