validator_moniker,per_voting_power,self_delegation,total_delegation
Rockaway Block Infra,845237358833,1,100
Teku,83913142944,1,62
tendermint,830339907082,1,48
Standard Crypto,829222271946,1,41
MetaRats 🐀,8002810396,1,100
BouBouNode,738536965594,1,100
Everstake,602075127851,1,23
Chill Validation,59279656387,1,61
Polychain,5734334558716,1,26
Please Redelegate,4960786179,1,4
Forbole,44715498627,1,100
blockscape,446048689581,1,100
MCB,421928891,1,2
PUPMØS,405344942634,1,100
Chainnodes,40034566,1,6
BlockHunters 🎯,32118375299,1,14
" Lavender.Five Nodes 🐝",316155237964,1,100
Tessellated,29728596595,1,10
Chorus One,2650853958253,1,100
AUDIT.one,25718961001,1,69
sleepykitten,215830905050,1,18
KingSuper,20569995040,1,53
StakeLab,19814590441,1,100
✅ CryptoCrew Validators #IBCgang,19213330096,1,100
0% Fee to 2023 | Stakewolle.com,1867835051,1,24
Two Buck Chuck,1844202,1,2
Stakernode,178198434,1,3
Bi23 Labs,1781956177,1,80
Cosmostation,1767197904823,1,82
Imperator.co,1579644170807,1,100
Figment,1568489432715,1,100
Simply Staking,1552268467844,1,100
"  polkachu.com",1425940782450,1,100
Agaram.ai,14082166381,1,100
Stakecito,1141755105842,1,100
elsehow,110000000,1,2
Ztake.org,10864189,1,3
Validatus,107029704,1,1
Numenor,10610068191,1,22
HashQuark,10054639942,1,7
Test Validator,1000000,1,1
MMS,1000000,1,1
Nala DAO,1000000,1,1
Bitference,1000000,1,1
MYMONIKER,1000000,1,1
gdasomm,100000,100000,1
