validator_moniker,per_voting_power,self_delegation,total_delegation
Rockaway Block Infra,845237358833,1,100
Teku,83913142944,1,62
tendermint,830339907082,1,48
Standard Crypto,829222271946,1,41
MetaRats 🐀,8002810396,1,100
BouBouNode,738536965594,1,100
Everstake,602075127851,1,23
Chill Validation,59279656387,1,61
Polychain,5734334558716,1,26
Please Redelegate,4960786179,1,4
Forbole,44715498627,1,100
blockscape,446048689581,1,100
MCB,421928891,1,2
PUPMØS,405344942634,1,100
Chainnodes,40034566,1,6
BlockHunters 🎯,32118375299,1,14
" Lavender.Five Nodes 🐝",316155237964,1,100
Tessellated,29728596595,1,10
Chorus One,2650853958253,1,100
AUDIT.one,25718961001,1,69
sleepykitten,214923905050,1,17
KingSuper,20569995040,1,53
StakeLab,19814590441,1,100
✅ CryptoCrew Validators #IBCgang,19213330096,1,100
0% Fee to 2023 | Stakewolle.com,1867835051,1,24
Two Buck Chuck,1844202,1,2
Stakernode,178198434,1,3
Bi23 Labs,1781956177,1,80
Cosmostation,1767197904823,1,82
Imperator.co,1579644170807,1,100
Figment,1568489432715,1,100
Simply Staking,1552268467844,1,100
"  polkachu.com",1425940782450,1,100
Agaram.ai,14082166381,1,100
Stakecito,1141755105842,1,100
elsehow,110000000,1,2
Ztake.org,10864189,1,3
Validatus,107029704,1,1
Numenor,10610068191,1,22
HashQuark,10054639942,1,7
Test Validator,1000000,1,1
MMS,1000000,1,1
Nala DAO,1000000,1,1
Bitference,1000000,1,1
MYMONIKER,1000000,1,1
gdasomm,100000,100000,1
210,1,9
"	     Goatlabs V 🐐",44388402,1,5
"  Earn Stash",4344834,1,8
ChainTools,398854740249,1,100
REDELEGATE,398583329,1,100
syncnode,3885479,1,8
White Marlin Staking,3859276077,1,11
Cosmostation,3783468681683,1,100
"	EZStaking.io",372607874506,1,100
Bro_n_Bro,372312680840,1000000,100
Kleomedes,371036572095,1,100
Crab Shack (ben2x4),355661252963,1,100
CLOSING - REDELGATE,329746342,1,43
SG-1,3237189517075,1,100
Stakewolle.com | Auto-compound,304487690852,1,100
"	BlueStake 🚀 | 100% insurance",301438512105,1,100
"     polkachu.com",298742001362,1,100
coinhall.org 📈🔄 Data/Charts for Juno,28160635729,1,92
"Meow (shutting down 4/28, please redelegate)",2663350353,1,100
CommunityStaking,261233567438,1,100
Cros-nest,253400112632,1,100
COSMOSTAKE,2500000,1,3
"   WhisperNode🤐",216050265889,1,100
Inotel,208252982041,1,100
WeStaking,206239499024,1,100
StarCluster,19489816,1000000,54
Stakin,172706365349,1,100
Redline Validation,169507931405,1,89
Swiss Staking,1606624028561,1,100
GATA DAO,146173519438,1,100
" Stakepile - Auto-restake enable",14409832481,1,100
Allnodes.com ⚡️ Auto-compound (Ledger or Keplr),143569901555,1,100
LOA Labs,138461911021,1,100
S16 Research Ventures,138378322217,1,100
Bored Ape Server,130351227867,1,100
Noderunners,130000,1,4
Cosmology,128307095928,1000000,100
Active Nodes,128005242418,1,100
🇩🇪 Perseverance 🔭👨‍,12702,100000,8
Jupiter,126783946,1,53
Fanfury | fury.fan | Stake to Win,123878256558,1,100
Secure Secrets,123571775172,1,100
stakelan,1221724300,1,6
Hindsight,1200000,1,1
ECO Stake 🌱,117255780505,1,100
Vault Staking,1170000,1,4
DO NOT DELEGATE HERE,11628397,1,8
carbonZERO🌲 | 30% TO DAO,11617241155,1,33
#decentralizehk - DHK dao,115266928482,1,100
Cypher Core,115143145721,1,100
"	 EcoStake.net 🌳 We donate 1/3 of all revenue.",112543672836,1,100
SolidStake,105119955,1,100
Validator.run | 100% Slash Protected,100087571002,1,100
Kersoras,1000000,1,1
Inter Blockchain Services (formerly 3Tekos),1000000,1,1
SunFace.org,1000000,1,1
PoorButHappy,1000000,1,1
Plural,1000000,1,1
🛹 Stake or Die! 🐝🐝🐝,1000000,1,1
